,HOSTNAME1
186529,baledger.com
409316,balita.com
359752,balkans.com
44209,ballardnewstribune.com
420606,ballerstatus.com
419912,ballinaadvocate.com.au
46583,ballotnews.org
293067,ballymoneytimes.co.uk
81190,baltic-course.com
56304,balticbusinessnews.com
56343,baltictimes.com
234294,baltimorebeatdown.com
421049,baltimoremagazine.net
411079,baltimorepostexaminer.com
234297,baltimoreravens.com
418347,baltimoresun.com
351131,bananaip.com
414718,bangaloremirror.com
418545,bangkokpost.com
417044,bangordailynews.com
398174,bankerandtradesman.com
407247,bankinfosecurity.com
371433,banking-business-review.com
330477,bankingday.com
91478,bankingtech.com
305085,bankinvestmentconsultant.com
88035,bannernews.net
195244,baptiststandard.com
272464,barandbench.com
255042,barentsobserver.com
397478,barfblog.com
280133,baristanet.com
138651,barnesville.com
138602,barnstablepatriot.com
419617,barrons.com
175531,barrowcountynews.com
331213,barrowjournal.com
103823,barryanddistrictnews.co.uk
406148,bartlesvilleradio.com
247869,bartonchronicle.com
417125,basicsmedia.com
396607,basingstokegazette.co.uk
405017,basnews.com
321478,basqueresearch.com
40028,bassresource.com
375196,bastropenterprise.com
226371,batemansbaypost.com.au
414801,bathchronicle.co.uk
386749,batman-news.com
416210,battlecreekenquirer.com
422197,battlegroundblog.com
383960,battleredblog.com
155061,baxleynewsbanner.com
271446,baxterbulletin.com
421790,baylorlariat.com
413325,baynews9.com
420230,bayshorebroadcasting.ca
235073,baysidebulletin.com.au
20422,baystatebanner.com
417474,baystreet.ca
412402,baytoday.ca
301632,baytownsun.com
422092,bbc.co.uk
422105,bbc.com
395388,bbcamerica.com
362382,bbj.hu
409261,bcbr.com
131478,bccourier.com
403189,bcdb.com
103847,bcdemocrat.com
385452,bcdemocratonline.com
86684,bcheights.com
190305,bclocalnews.com
233680,bcm.edu
89305,bcp.org
252032,bcrnews.com
117405,bcs.org
417502,bdlive.co.za
417448,bdnews24.com
385610,bdonline.co.uk
375476,bdtonline.com
403820,beachcarolina.com
121998,beachconnection.net
123482,beaconhilltimes.com
412374,beaconnews.ca
361112,beartoothnbc.com
233136,beatcrave.com
386218,beatricedailysun.com
408893,beaufortobserver.net
366478,beaumontenterprise.com
288703,beauregarddailynews.net
420786,beautyblitz.com
421629,beautyworldnews.com
20406,beckersasc.com
387218,beckershospitalreview.com
294267,beckersspine.com
116017,bedfordnow.com
268254,bedfordshire-news.co.uk
201672,beebenews.com
149335,beefcentral.com
183833,beefmagazine.com
113293,begadistrictnews.com.au
404517,behavioral.net
226614,behindthesteelcurtain.com
395461,behindthethrills.com
421988,belfasttelegraph.co.uk
76423,belgrade-news.com
408302,beliefnet.com
416822,bellanaija.com
380789,bellasugar.com
286012,bellevision.com
391766,bellevuereporter.com
415897,bellinghamherald.com
189372,bellona.org
406149,beloitdailynews.com
241445,belpernews.co.uk
351425,belvoireagle.com
349051,bemidjipioneer.com
401647,benchmarkmonitor.com
317560,bendbulletin.com
374878,bendigoadvertiser.com.au
400707,benefitnews.com
390976,benefitscanada.com
329360,benefitspro.com
134039,benjaminkanarekblog.com
416188,benningtonbanner.com
313503,benningtonvalepress.com
1553,bensonhurstbean.com
138997,bensonnews-sun.com
138962,bentleyvanguard.com
232513,bentoneveningnews.com
419614,benzinga.com
362765,benzinsider.com
258643,berkeley.edu
58946,berkeleybeacon.com
126048,berkeleyind.com
197463,berkeleyside.com
421256,berkshireeagle.com
420192,berksmontnews.com
278265,bermudasun.bm
422373,bernama.com.my
84320,bernardgoldberg.com
420185,bernews.com
394414,berryreview.com
420349,bestdaily.co.uk
354142,bestmoviesevernews.com
366866,bestofneworleans.com
306577,besttechie.com
421599,bet.com
418018,betabeat.com
418354,betaboston.com
282178,betakit.com
419047,betanews.com
416122,bethesdamagazine.com
376098,bethesdanow.com
356335,betterroads.com
364006,beveragedaily.com
338917,bevnet.com
134400,bexhillobserver.net
323788,beyond.ca
200486,beyondchron.org
389546,bgdailynews.com
157707,bgfashion.net
403465,bgnews.com
419424,bgr.com
419558,bgr.in
420025,bhaskar.com
362510,bhatkallys.com
407602,bhcourier.com
300528,bhpioneer.com
394445,bibeypost.com
225063,bicycleretailer.com
422058,bidnessetc.com
111523,bigapplesoccer.com
134291,bigbendnow.com
355175,bigbrotheraccess.com
355178,bigbrothernetwork.com
1279,bigcatcountry.com
415849,bigcountryhomepage.com
410921,biggaypictureshow.com
8339,biggleswadetoday.co.uk
383080,bigislandnow.com
337685,bigissue.com
422401,bignewsnetwork.com
309296,bigpicturebigsound.com
108618,bigrigs.com.au
403503,bigshinyrobot.com
279053,bigskypress.com
359678,bikebiz.com
330926,bikeland.org
359614,bikeradar.com
420468,billboard.com
407180,billingsgazette.com
407057,billingworld.com
418940,billmoyers.com
418065,binarytribune.com
415948,binghamtonhomepage.com
204028,bio-itworld.com
409036,bioedge.org
41623,biofortified.org
408183,biogamergirl.com
186527,biola.edu
392207,biologicaldiversity.org
231727,biologynews.net
189257,biomassmagazine.com
304336,bionews-tx.com
338074,bionews.org.uk
125331,bioopticsworld.com
376083,biopharma-reporter.com
266399,bioresearchonline.com
355558,bioscholar.com
416802,biosciencetechnology.com
84453,biotechblog.com
386190,bioworld.com
99315,birdchannel.com
411200,birminghammail.co.uk
399134,birminghampost.co.uk
380503,birthplacemag.com
387204,bismarcktribune.com
84467,bisnow.com
419119,bit-tech.net
359793,bit.com.au
297110,bitcoinmagazine.com
109782,bitsofscience.org
419505,bitterwallet.com
412366,biv.com
381513,bizcommunity.com
422406,bizjournals.com
172157,bizlex.com
416040,bizpacreview.com
392142,bizreport.com
339758,biztechafrica.com
367948,biztechmagazine.com
400871,biztimes.com
416825,bjreview.com.cn
409798,bkassetmanagement.com
358690,bkreader.com
43893,blackanthem.com
305512,blackberryrocks.com
417154,blackburnnews.com
387347,blackenterprise.com
331606,blackfridaymagazine.com
252764,blackjackchamp.com
399141,blackmorevale.co.uk
10928,blackmountainnews.com
422153,blacknews.com
319262,blackpoolcitizen.co.uk
230959,blackpoolgazette.co.uk
421717,blackpressusa.com
217523,blackprwire.com
281711,blackseagrain.net
402464,blackshoediaries.com
280696,blackstarnews.com
15978,blackvoicenews.com
284545,blaremagazine.com
73135,blastmagazine.com
406747,bleacherreport.com
402878,bleedcubbieblue.com
411142,bleedingcool.com
383954,bleedinggreennation.com
369771,blisstree.com
411331,blog.ajc.com
399843,blog.palmbeachpost.com
36946,blogcritics.org
398918,blogforiowa.com
410838,bloggernews.net
299343,blogher.com
415276,blogs.cnn.com
385955,blogs.com
37085,blogs.deseretnews.com
260152,blogs.fortune.cnn.com
416116,blogs.gainesville.com
408212,blogs.nba.com
334487,blogs.news-journalonline.com
318611,blogs.nytimes.com
177720,blogs.ocala.com
411706,blogs.starnewsonline.com
369929,blogs.theledger.com
68886,blogspot.in
193738,blogtalkradio.com
407703,blogto.com
421288,bloguin.com
251192,bloodyelbow.com
419492,bloomberg.com
30875,bloomberglaw.com
419473,bloombergview.com
420724,blouinartinfo.com
413516,blouinnews.com
404049,blowingrocket.com
422143,blr.com
146137,blscourierherald.com
395030,blu-ray.com
295502,blu-raydefinition.com
418975,blueandgreentomorrow.com
408902,bluemountaineagle.com
421826,blueribbonnews.com
116217,blueridgemuse.com
412630,blueridgenow.com
362141,bluff.com
331247,blufftontoday.com
359245,bmwblog.com
418987,bna.bh
418965,bna.com
411662,bnamericas.com
408332,bnd.com
50844,bne.eu
417142,bnn.ca
74854,boatingbusiness.com
339348,bobsguide.com
357054,bobsullivan.net
274792,bocamag.com
249323,bocanewsnow.com
415909,bocaratontribune.com
126062,bognor.co.uk
421077,bohemian.com
419748,boingboing.net
414348,boisestatepublicradio.org
403504,boiseweekly.com
406669,boldride.com
408559,boldsky.com
421760,bolivarcom.com
33427,bollywoodhungama.com
421524,bollywoodlife.com
412499,bondbuyer.com
85050,bone-idle.ie
329789,bonnercountydailybee.com
411783,booktrade.info
410358,boonvilledailynews.com
122031,bordermail.com.au
103730,borehamwoodtimes.co.uk
421329,boston.com
421199,bostonglobe.com
421132,bostonherald.com
421205,bostonmagazine.com
269749,bostonmusicspotlight.com
293086,bostontarget.co.uk
385998,bothell-reporter.com
198302,boulderweekly.com
293270,bournemouthecho.co.uk
386518,bovinevetonline.com
140808,bowdoin.edu
251200,boxinginsider.com
253937,boxingscene.com
408304,boxofficemojo.com
408276,boxofficeprophets.com
395375,boxscorenews.com
349458,bozemandailychronicle.com
378794,bps.org.uk
102702,bradblog.com
411689,bradenton.com
407267,bradfordera.com
416129,bradfordtimes.ca
380999,bradfordtoday.com
163801,brafton.com
418540,brahmand.com
400179,brainerddispatch.com
293083,braintreeandwithamtimes.co.uk
414279,bramptonguardian.com
307005,brand-e.biz
413465,brandchannel.com
389346,brandnewcool.com
421045,brandonsun.com
254501,bransontrilakesnews.com
401608,brantfordexpositor.ca
351794,brantnews.com
146134,breakbulk.com
289992,breakingfinancenews.com
29373,breakingnews.com
420024,breakingnews.ie
406930,breakingviews.com
421572,breathecast.com
103831,brechinadvertiser.co.uk
189876,breckenridgeamerican.com
422392,brecorder.com
86778,breezejmu.org
421668,breitbart.com
12075,bremertonpatriot.com
364462,brenhambanner.com
378364,brevardtimes.com
265341,brewbound.com
388011,brianmadden.com
245643,bridgwatermercury.co.uk
207001,bridportnews.co.uk
401984,brighthand.com
111204,brightonandhovenews.org
246674,brightonpittsfordpost.com
85184,brightsideofnews.com
416280,bringmethenews.com
378688,bringonthecats.com
418485,brisbanetimes.com.au
348847,brisnet.com
276953,bristol247.com
411207,bristolpost.co.uk
385956,bristolpress.com
62982,british-weekly.com
311063,brixtonbuzz.com
129677,brnow.org
378081,broadbandbreakfast.com
386646,broadbandtvnews.com
421404,broadcastingcable.com
345746,broadcastnow.co.uk
202302,broadstreethockey.com
402405,broadway.com
422155,broadwayworld.com
24021,brockpress.com
294026,brokernews.com.au
8351,bromsgrovestandard.co.uk
91220,brookhavencourier.com
349167,brookhavenpost.co
418201,brookings.edu
262042,brookingsregister.com
383302,brooklyneagle.com
47699,brooklynews.com
408042,brooklynvegan.com
113565,brooksbulletin.com
420042,broomfieldenterprise.com
409158,brotherlygame.com
414549,browardpalmbeach.com
144592,browndailyherald.com
123505,brownfieldonline.com
131343,brownpoliticalreview.org
406713,brownsvilleherald.com
138940,brownwoodtx.com
398413,bruinsnation.com
298307,brushnewstribune.com
118459,brutalashell.com
387784,brw.com.au
366946,bryantimes.com
421640,bsckids.com
377855,bsminfo.com
297996,bsmotoring.com
419747,bt.com
292723,bthsnews.org
32069,btlnews.com
226527,bu.edu
344387,buckeyecountry105.com
138965,buckinghamtoday.co.uk
402968,buckscountycouriertimes.com
416560,bucksfreepress.co.uk
385815,buckslocalnews.com
299253,bucyrustelegraphforum.com
362387,budapesttimes.hu
421303,buddytv.com
422232,buenosairesherald.com
34581,buffalo.edu
103625,buffalobills.com
420269,buffalonews.com
103866,buffaloriverreview.com
402866,buffalorumblings.com
355826,buglenewspapers.com
84169,building.co.uk
60468,buildings.com
415307,bulawayo24.com
179493,bulletnewsniagara.ca
412015,bulliondesk.com
409409,bullionvault.com
397745,bunkerworld.com
163401,bupipedream.com
288980,buquad.com
421096,burbankleader.com
313066,burlesonstar.net
377025,burlington-record.com
402969,burlingtoncountytimes.com
66448,burlingtonfreepress.com
24039,burnabynewsleader.com
24035,burnabynow.com
130921,burnhamandhighbridgeweeklynews.co.uk
271715,burnleycitizen.co.uk
134368,burnleyexpress.net
240303,burnsidenews.com
215939,burntorangereport.com
313395,burtonmail.co.uk
107377,burytimes.co.uk
267226,bus-ex.com
281051,busbyway.com
388155,business-cloud.com
352736,business-ethics.com
418082,business-review.eu
419401,business-standard.com
421311,business2community.com
418116,businessandleadership.com
191287,businesscarmanager.co.uk
237223,businessclarksville.com
392301,businesscloudnews.com
422323,businessdayonline.com
100482,businessghana.com
418981,businessgreen.com
417020,businessincanada.com
410113,businessinsavannah.com
420614,businessinsider.com
422021,businessinsider.in
269112,businessjournalism.org
387998,businesskorea.co.kr
116803,businessleader.uk.com
339092,businessmanagementdaily.com
395708,businessmirror.com.ph
417915,businessnews.com.au
419409,businessnewsdaily.com
365074,businessofcinema.com
416986,businessoffashion.com
417898,businessrecord.com
316488,businessreport.com
412195,businessreviewcanada.ca
229978,businessrevieweurope.eu
412956,businessreviewusa.com
419247,businessspectator.com.au
419390,businesstimes.com.sg
277064,businesstraveller.com
422309,businessweek.com
252528,businessweekly.co.uk
399890,businesswire.com
373301,businesswireindia.com
409955,businessworld.in
342910,busseltonmail.com.au
262013,butlereagle.com
418057,buyingbusinesstravel.com
422040,buzzfeed.com
246621,buzzfocus.com
408323,buzzsugar.com
143134,bwog.com
408437,bworldonline.com
327647,bymnews.com
350462,byronnews.com.au
394109,bytenow.net
418089,c-mw.net
418224,c-span.org
354525,c-ville.com
420940,c21media.net
422272,ca.msn.com
419497,cable.co.uk
97501,cable360.net
181663,cablefax.com
379048,caboodle.ca
411558,caboolturenews.com.au
412328,cabot.net
417322,cachevalleydaily.com
420757,cadenagramonte.cu
387841,cadillacnews.com
24365,caeconomy.org
421316,cafemom.com
80385,cafemutual.com
280940,caffeinatedthoughts.com
251159,cagepotato.com
411161,cagesideseats.com
269630,cairnspost.com.au
414145,cairoscene.com
411658,caixin.com
409068,cajnewsafrica.com
414148,calacademy.org
374337,calaverasenterprise.com
383111,calcoastnews.com
204710,calculator.co.uk
381667,caledonenterprise.com
414945,calgaryherald.com
415199,calgarysun.com
338975,californiaexaminer.net
421906,californiahealthline.org
166535,californianewswire.com
397891,californiareport.org
392033,caller.com
421674,cambio.com
215821,cambodiadaily.com
420160,cambridge-news.co.uk
388754,cambridgechron.com
271978,cambridgenetwork.co.uk
421151,cambridgetimes.ca
263544,camdencourier.com.au
53216,camdennewjournal.com
247612,camelcitydispatch.com
123491,cameronherald.com
259286,campaignasia.com
301480,campaignindia.in
399225,campaignlive.co.uk
373845,campbellrivermirror.com
377395,campdenfb.com
316462,campusreform.org
364622,campustechnology.com
136558,campustimes.org
209044,campverdebugleonline.com
421105,canada.com
418958,canadafreepress.com
420701,canadajournal.net
248298,canadianbusiness.com
418419,canadianmanufacturing.com
413171,canadianreviewer.com
24940,canadiansecuritieslaw.com
412669,canberratimes.com.au
409240,cancernetwork.com
387549,canindia.com
